Temperature,Relative Humidity,Radiation, Site, Nitrogen, Potasium, Calcium, Suitability
Tmpr, RH, Rad, Site, N, P, K, Stbl
10,5,0.5,A,62,25,55,Z
10,5,0.75,B,66,17.5,22.5,G
10,5,1,A,70,10,70,G
10,5,1.25,A,74,2.5,77.5,G
10,5,1.5,C,78,-5,155,Z
10,6,0.5,A,60.8,30,55,Z
10,6,0.75,B,64.8,22.5,22.5,Z
10,6,1,C,68.8,15,105,G
10,6,1.25,A,72.8,7.5,77.5,G
10,6,1.5,C,76.8,0,155,G
10,7,0.5,C,59.6,35,55,Z
10,7,0.75,C,63.6,27.5,80,Z
10,7,1,C,67.6,20,105,G
10,7,1.25,C,71.6,12.5,130,G
10,7,1.5,B,75.6,5,60,G
10,8,0.5,B,58.4,40,10,Z
10,8,0.75,C,62.4,32.5,80,Z
10,8,1,B,66.4,25,35,Z
10,8,1.25,A,70.4,17.5,77.5,G
10,8,1.5,A,74.4,10,85,G
10,9,0.5,B,57.2,45,10,Z
10,9,0.75,B,61.2,37.5,22.5,Z
10,9,1,B,65.2,30,35,Z
10,9,1.25,A,69.2,22.5,77.5,Z
10,9,1.5,B,73.2,15,60,G
10,10,0.5,C,56,50,55,Z
10,10,0.75,C,60,42.5,80,Z
10,10,1,B,64,35,35,Z
10,10,1.25,B,68,27.5,47.5,Z
10,10,1.5,A,72,20,85,G
15,5,0.5,A,92,32.5,75,Z
15,5,0.75,B,96,25,15,G
15,5,1,B,100,17.5,27.5,G
15,5,1.25,C,104,10,132.5,G
15,5,1.5,C,108,2.5,157.5,G
15,6,0.5,C,90.8,37.5,57.5,Z
15,6,0.75,A,94.8,30,82.5,G
15,6,1,C,98.8,22.5,107.5,G
15,6,1.25,C,102.8,15,132.5,G
15,6,1.5,C,106.8,7.5,157.5,G
15,7,0.5,A,89.6,42.5,75,Z
15,7,0.75,A,93.6,35,82.5,Z
15,7,1,B,97.6,27.5,27.5,G
15,7,1.25,C,101.6,20,132.5,G
15,7,1.5,A,105.6,12.5,105,G
15,8,0.5,B,88.4,47.5,2.5,Z
15,8,0.75,A,92.4,40,82.5,Z
15,8,1,B,96.4,32.5,27.5,Z
15,8,1.25,C,100.4,25,132.5,G
15,8,1.5,A,104.4,17.5,105,G
15,9,0.5,A,87.2,52.5,75,Z
15,9,0.75,B,91.2,45,15,Z
15,9,1,C,95.2,37.5,107.5,Z
15,9,1.25,C,99.2,30,132.5,G
15,9,1.5,B,103.2,22.5,52.5,G
15,10,0.5,B,86,57.5,2.5,Z
15,10,0.75,A,90,50,82.5,Z
15,10,1,C,94,42.5,107.5,Z
15,10,1.25,B,98,35,40,Z
15,10,1.5,C,102,27.5,157.5,G
20,5,0.5,A,122,40,95,Z
20,5,0.75,A,126,32.5,102.5,G
20,5,1,A,130,25,110,G
20,5,1.25,B,134,17.5,32.5,G
20,5,1.5,C,138,10,160,G
20,6,0.5,C,120.8,45,60,Z
20,6,0.75,A,124.8,37.5,102.5,G
20,6,1,A,128.8,30,110,G
20,6,1.25,A,132.8,22.5,117.5,G
20,6,1.5,C,136.8,15,160,G
20,7,0.5,B,119.6,50,-5,Z
20,7,0.75,B,123.6,42.5,7.5,Z
20,7,1,A,127.6,35,110,G
20,7,1.25,C,131.6,27.5,135,G
20,7,1.5,B,135.6,20,45,G
20,8,0.5,C,118.4,55,60,Z
20,8,0.75,C,122.4,47.5,85,Z
20,8,1,B,126.4,40,20,G
20,8,1.25,B,130.4,32.5,32.5,G
20,8,1.5,B,134.4,25,45,G
20,9,0.5,A,117.2,60,95,Z
20,9,0.75,B,121.2,52.5,7.5,Z
20,9,1,C,125.2,45,110,Z
20,9,1.25,A,129.2,37.5,117.5,G
20,9,1.5,B,133.2,30,45,G
20,10,0.5,C,116,65,60,Z
20,10,0.75,A,120,57.5,102.5,Z
20,10,1,A,124,50,110,Z
20,10,1.25,B,128,42.5,32.5,Z
20,10,1.5,A,132,35,125,G
25,5,0.5,A,152,47.5,115,G
25,5,0.75,A,156,40,122.5,G
25,5,1,C,160,32.5,112.5,G
25,5,1.25,B,164,25,25,G
25,5,1.5,C,168,17.5,162.5,G
25,6,0.5,C,150.8,52.5,62.5,Z
25,6,0.75,C,154.8,45,87.5,G
25,6,1,A,158.8,37.5,130,G
25,6,1.25,B,162.8,30,25,G
25,6,1.5,B,166.8,22.5,37.5,G
25,7,0.5,A,149.6,57.5,115,Z
25,7,0.75,A,153.6,50,122.5,G
25,7,1,A,157.6,42.5,130,G
25,7,1.25,A,161.6,35,137.5,G
25,7,1.5,A,165.6,27.5,145,G
25,8,0.5,C,148.4,62.5,62.5,Z
25,8,0.75,C,152.4,55,87.5,Z
25,8,1,A,156.4,47.5,130,G
25,8,1.25,B,160.4,40,25,G
25,8,1.5,C,164.4,32.5,162.5,G
25,9,0.5,B,147.2,67.5,-12.5,Z
25,9,0.75,C,151.2,60,87.5,Z
25,9,1,B,155.2,52.5,12.5,Z
25,9,1.25,A,159.2,45,137.5,G
25,9,1.5,C,163.2,37.5,162.5,G
25,10,0.5,B,146,72.5,-12.5,Z
25,10,0.75,B,150,65,0,Z
25,10,1,B,154,57.5,12.5,Z
25,10,1.25,C,158,50,137.5,G
25,10,1.5,B,162,42.5,37.5,G
30,5,0.5,B,182,55,-20,G
30,5,0.75,C,186,47.5,90,G
30,5,1,A,190,40,150,G
30,5,1.25,A,194,32.5,157.5,G
30,5,1.5,B,198,25,30,G
30,6,0.5,B,180.8,60,-20,Z
30,6,0.75,B,184.8,52.5,-7.5,G
30,6,1,C,188.8,45,115,G
30,6,1.25,B,192.8,37.5,17.5,G
30,6,1.5,B,196.8,30,30,G
30,7,0.5,B,179.6,65,-20,Z
30,7,0.75,C,183.6,57.5,90,G
30,7,1,A,187.6,50,150,G
30,7,1.25,B,191.6,42.5,17.5,G
30,7,1.5,B,195.6,35,30,G
30,8,0.5,A,178.4,70,135,Z
30,8,0.75,A,182.4,62.5,142.5,Z
30,8,1,C,186.4,55,115,G
30,8,1.25,A,190.4,47.5,157.5,G
30,8,1.5,B,194.4,40,30,G
30,9,0.5,C,177.2,75,65,Z
30,9,0.75,C,181.2,67.5,90,Z
30,9,1,C,185.2,60,115,G
30,9,1.25,C,189.2,52.5,140,G
30,9,1.5,A,193.2,45,165,G
30,10,0.5,C,176,80,65,Z
30,10,0.75,A,180,72.5,142.5,Z
30,10,1,A,184,65,150,Z
30,10,1.25,B,188,57.5,17.5,G
30,10,1.5,A,192,50,165,G
35,5,0.5,A,212,62.5,155,G
35,5,0.75,B,216,55,-15,G
35,5,1,C,220,47.5,117.5,G
35,5,1.25,B,224,40,10,G
35,5,1.5,C,228,32.5,167.5,G
35,6,0.5,A,210.8,67.5,155,G
35,6,0.75,A,214.8,60,162.5,G
35,6,1,B,218.8,52.5,-2.5,G
35,6,1.25,C,222.8,45,142.5,G
35,6,1.5,A,226.8,37.5,185,G
35,7,0.5,C,209.6,72.5,67.5,Z
35,7,0.75,A,213.6,65,162.5,G
35,7,1,A,217.6,57.5,170,G
35,7,1.25,A,221.6,50,177.5,G
35,7,1.5,C,225.6,42.5,167.5,G
35,8,0.5,B,208.4,77.5,-27.5,Z
35,8,0.75,B,212.4,70,-15,Z
35,8,1,C,216.4,62.5,117.5,G
35,8,1.25,C,220.4,55,142.5,G
35,8,1.5,C,224.4,47.5,167.5,G
35,9,0.5,A,207.2,82.5,155,Z
35,9,0.75,B,211.2,75,-15,Z
35,9,1,B,215.2,67.5,-2.5,G
35,9,1.25,C,219.2,60,142.5,G
35,9,1.5,C,223.2,52.5,167.5,G
35,10,0.5,B,206,87.5,-27.5,Z
35,10,0.75,B,210,80,-15,Z
35,10,1,B,214,72.5,-2.5,Z
35,10,1.25,A,218,65,177.5,G
35,10,1.5,B,222,57.5,22.5,G
40,5,0.5,C,242,70,70,G
40,5,0.75,C,246,62.5,95,G
40,5,1,C,250,55,120,G
40,5,1.25,B,254,47.5,2.5,G
40,5,1.5,B,258,40,15,G
40,6,0.5,C,240.8,75,70,G
40,6,0.75,A,244.8,67.5,182.5,G
40,6,1,B,248.8,60,-10,G
40,6,1.25,C,252.8,52.5,145,G
40,6,1.5,C,256.8,45,170,G
40,7,0.5,A,239.6,80,175,Z
40,7,0.75,C,243.6,72.5,95,G
40,7,1,A,247.6,65,190,G
40,7,1.25,B,251.6,57.5,2.5,G
40,7,1.5,A,255.6,50,205,G
40,8,0.5,C,238.4,85,70,Z
40,8,0.75,B,242.4,77.5,-22.5,G
40,8,1,C,246.4,70,120,G
40,8,1.25,C,250.4,62.5,145,G
40,8,1.5,A,254.4,55,205,G
40,9,0.5,A,237.2,90,175,Z
40,9,0.75,B,241.2,82.5,-22.5,Z
40,9,1,C,245.2,75,120,G
40,9,1.25,C,249.2,67.5,145,G
40,9,1.5,A,253.2,60,205,G
40,10,0.5,B,236,95,-35,Z
40,10,0.75,C,240,87.5,95,Z
40,10,1,A,244,80,190,G
40,10,1.25,A,248,72.5,197.5,G
40,10,1.5,C,252,65,170,G
45,5,0.5,B,272,77.5,-42.5,G
45,5,0.75,A,276,70,202.5,G
45,5,1,A,280,62.5,210,G
45,5,1.25,B,284,55,-5,G
45,5,1.5,B,288,47.5,7.5,G
45,6,0.5,B,270.8,82.5,-42.5,G
45,6,0.75,C,274.8,75,97.5,G
45,6,1,B,278.8,67.5,-17.5,G
45,6,1.25,A,282.8,60,217.5,G
45,6,1.5,A,286.8,52.5,225,G
45,7,0.5,C,269.6,87.5,72.5,G
45,7,0.75,B,273.6,80,-30,G
45,7,1,C,277.6,72.5,122.5,G
45,7,1.25,B,281.6,65,-5,G
45,7,1.5,B,285.6,57.5,7.5,G
45,8,0.5,A,268.4,92.5,195,Z
45,8,0.75,C,272.4,85,97.5,G
45,8,1,C,276.4,77.5,122.5,G
45,8,1.25,A,280.4,70,217.5,G
45,8,1.5,B,284.4,62.5,7.5,G
45,9,0.5,A,267.2,97.5,195,Z
45,9,0.75,A,271.2,90,202.5,Z
45,9,1,A,275.2,82.5,210,G
45,9,1.25,A,279.2,75,217.5,G
45,9,1.5,C,283.2,67.5,172.5,G
45,10,0.5,B,266,102.5,-42.5,Z
45,10,0.75,B,270,95,-30,Z
45,10,1,C,274,87.5,122.5,G
45,10,1.25,B,278,80,-5,G
45,10,1.5,A,282,72.5,225,G
50,5,0.5,A,302,85,215,G
50,5,0.75,B,306,77.5,-37.5,G
50,5,1,C,310,70,125,G
50,5,1.25,C,314,62.5,150,G
50,5,1.5,C,318,55,175,G
50,6,0.5,C,300.8,90,75,G
50,6,0.75,B,304.8,82.5,-37.5,G
50,6,1,B,308.8,75,-25,G
50,6,1.25,A,312.8,67.5,237.5,G
50,6,1.5,C,316.8,60,175,G
50,7,0.5,C,299.6,95,75,G
50,7,0.75,C,303.6,87.5,100,G
50,7,1,B,307.6,80,-25,G
50,7,1.25,C,311.6,72.5,150,G
50,7,1.5,A,315.6,65,245,G
50,8,0.5,C,298.4,100,75,Z
50,8,0.75,C,302.4,92.5,100,G
50,8,1,C,306.4,85,125,G
50,8,1.25,C,310.4,77.5,150,G
50,8,1.5,A,314.4,70,245,G
50,9,0.5,C,297.2,105,75,Z
50,9,0.75,B,301.2,97.5,-37.5,G
50,9,1,B,305.2,90,-25,G
50,9,1.25,C,309.2,82.5,150,G
50,9,1.5,C,313.2,75,175,G
50,10,0.5,B,296,110,-50,Z
50,10,0.75,B,300,102.5,-37.5,Z
50,10,1,A,304,95,230,G
50,10,1.25,B,308,87.5,-12.5,G
50,10,1.5,C,312,80,175,G
55,5,0.5,C,332,92.5,77.5,G
55,5,0.75,C,336,85,102.5,G
55,5,1,C,340,77.5,127.5,G
55,5,1.25,A,344,70,257.5,G
55,5,1.5,A,348,62.5,265,G
55,6,0.5,C,330.8,97.5,77.5,G
55,6,0.75,C,334.8,90,102.5,G
55,6,1,A,338.8,82.5,250,G
55,6,1.25,C,342.8,75,152.5,G
55,6,1.5,A,346.8,67.5,265,G
55,7,0.5,B,329.6,102.5,-57.5,G
55,7,0.75,C,333.6,95,102.5,G
55,7,1,B,337.6,87.5,-32.5,G
55,7,1.25,B,341.6,80,-20,G
55,7,1.5,C,345.6,72.5,177.5,G
55,8,0.5,A,328.4,107.5,235,G
55,8,0.75,A,332.4,100,242.5,G
55,8,1,A,336.4,92.5,250,G
55,8,1.25,C,340.4,85,152.5,G
55,8,1.5,C,344.4,77.5,177.5,G
55,9,0.5,A,327.2,112.5,235,Z
55,9,0.75,C,331.2,105,102.5,G
55,9,1,B,335.2,97.5,-32.5,G
55,9,1.25,C,339.2,90,152.5,G
55,9,1.5,B,343.2,82.5,-7.5,G
55,10,0.5,B,326,117.5,-57.5,Z
55,10,0.75,C,330,110,102.5,Z
55,10,1,C,334,102.5,127.5,G
55,10,1.25,C,338,95,152.5,G
55,10,1.5,B,342,87.5,-7.5,G
60,5,0.5,C,362,100,80,G
60,5,0.75,C,366,92.5,105,G
60,5,1,A,370,85,270,G
60,5,1.25,C,374,77.5,155,G
60,5,1.5,B,378,70,-15,G
60,6,0.5,C,360.8,105,80,G
60,6,0.75,A,364.8,97.5,262.5,G
60,6,1,C,368.8,90,130,G
60,6,1.25,A,372.8,82.5,277.5,G
60,6,1.5,A,376.8,75,285,G
60,7,0.5,A,359.6,110,255,G
60,7,0.75,A,363.6,102.5,262.5,G
60,7,1,B,367.6,95,-40,G
60,7,1.25,A,371.6,87.5,277.5,G
60,7,1.5,B,375.6,80,-15,G
60,8,0.5,B,358.4,115,-65,G
60,8,0.75,B,362.4,107.5,-52.5,G
60,8,1,A,366.4,100,270,G
60,8,1.25,C,370.4,92.5,155,G
60,8,1.5,B,374.4,85,-15,G
60,9,0.5,B,357.2,120,-65,Z
60,9,0.75,C,361.2,112.5,105,G
60,9,1,A,365.2,105,270,G
60,9,1.25,B,369.2,97.5,-27.5,G
60,9,1.5,B,373.2,90,-15,G
60,10,0.5,A,356,125,255,Z
60,10,0.75,B,360,117.5,-52.5,G
60,10,1,A,364,110,270,G
60,10,1.25,C,368,102.5,155,G
60,10,1.5,B,372,95,-15,G
